z,qt,fs,u2
0.1,5.3,0.1563,0
0.2,7.24,0.1794,0
0.3,5.233,0.0892,0
0.4,2.55,0.102,0
0.5,4.998,0.1687,0
0.6,4.428,0.1613,0
0.7,3.891,0.1077,0
0.8,3.355,0.0802,0
0.9,4.092,0.04867,0
1,2.952,0.0758,0
1.1,2.282,0.05235,0
1.2,2.013,0.03896,0
1.3,1.812,0.03963,0
1.4,1.645,0.04633,0
1.5,1.444,0.04131,0
1.6,1.41,0.02789,0
1.7,1.545,0.03996,0
1.8,1.511,0.03929,0
1.9,1.746,0.03829,0
2,1.746,0.05069,0
2.1,1.377,0.05203,0
2.2,1.142,0.04367,0
2.3,1.243,0.05338,0
2.4,1.142,0.05071,0
2.5,1.076,0.05272,0
2.6,1.176,0.05439,0
2.7,1.142,0.0507,0
2.8,1.008,0.04534,0
2.9,1.008,0.04434,0
3,1.076,0.04434,0
3.1,1.143,0.04803,0
3.2,1.21,0.05238,0
3.3,1.277,0.05573,0
3.4,1.143,0.044,0
3.5,1.377,0.06411,0
3.6,1.277,0.0621,0
3.7,1.31,0.0621,0
3.8,1.713,0.06579,0
3.9,2.014,0.0842,0
4,2.685,0.06512,0
4.1,2.953,0.0728,0
4.2,4.998,0.0795,0
4.3,3.992,0.06513,0
4.4,4.16,0.0769,0
4.5,4.428,0.0775,0
4.6,5.366,0.0762,0
4.7,4.964,0.0762,0
4.8,4.227,0.0715,0
4.9,2.35,0.0829,0
5,2.584,0.05809,0
5.1,2.718,0.0822,0
5.2,2.517,0.0842,0
5.3,2.551,0.0769,0
5.4,2.886,0.06312,0
5.5,2.786,0.05977,0
5.6,2.652,0.0822,0
5.7,2.752,0.0923,0
5.8,3.288,0.0963,0
5.9,4.026,0.0923,0
6,2.082,0.0749,0
6.1,1.344,0.03262,0
6.2,1.613,0.05308,0
6.3,1.11,0.04135,0
6.4,0.943,0.02393,0
6.5,0.943,0.01723,0
6.6,1.01,0.01455,0
6.7,0.876,0.01656,0
6.8,1.077,0.01656,0
6.9,0.809,0.00717,0
7,0.742,0.00851,0
7.1,0.742,0.005833,0
7.2,0.641,0.01253,0
7.3,0.641,0.005833,0
7.4,0.675,0.004492,0
7.5,0.742,0.00985,0
7.6,0.708,0.006838,0
7.7,0.675,0.002147,0
7.8,0.608,0.003152,0
7.9,0.608,0.003152,0
8,0.675,0.003152,0
8.1,1.211,0.04135,0
8.2,1.01,0.03131,0
8.3,1.144,0.01859,0
8.4,0.809,0.002839,0
8.5,0.977,0.01189,0
8.6,1.279,0.01457,0
8.7,1.346,0.0206,0
8.8,1.379,0.01155,0
8.9,1.513,0.0816,0
9,2.887,0.0863,0
9.1,1.413,0.0702,0
9.2,7.64,0.05645,0
9.3,10.56,0.0983,0
9.4,13.27,0.1228,0
9.5,15.25,0.1037,0
9.6,8.21,0.095,0
9.7,1.58,0.06214,0
9.8,1.078,0.00987,0
9.9,1.01,0.01591,0
10,1.011,0.0082,0
10.1,1.279,0.05745,0
10.2,2.954,0.06785,0
10.3,1.648,0.02564,0
10.4,1.547,0.01928,0
10.5,1.48,0.02196,0
10.6,1.413,0.03334,0
10.7,5.366,0.1124,0
10.8,1.949,0.04138,0
10.9,1.212,0.01191,0
11,1.246,0.01861,0
11.1,1.346,0.02899,0
11.2,1.547,0.05211,0
11.3,4.763,0.05445,0
11.4,3.289,0.2162,0
11.5,11.5,0.3355,0
11.6,7.78,0.2531,0
11.7,7.31,0.1251,0
